,Close,Date,High,Low,Open,close_predicted,open_predicted
0,1370.2,2017-04-18,1410.0,1367.0,1399.95,1397.0973214269814,1392.8283259207813
0,1391.85,2017-04-17,1395.55,1365.0,1365.0,1366.298051384118,1366.608428976189
0,1364.8,2017-04-13,1373.4,1347.35,1354.0,1353.7658213200602,1353.1379876207882
0,1354.0,2017-04-12,1386.45,1351.15,1382.8,1379.970387207025,1376.5156494590574
0,1372.35,2017-04-11,1400.45,1370.1,1387.85,1386.4701105230952,1381.369851571294
0,1381.35,2017-04-10,1424.9,1377.3,1410.0,1407.2524788494472,1402.5648041448305
0,1406.6,2017-04-07,1434.0,1402.55,1421.3,1421.7141768018867,1415.2201036795177
0,1438.5,2017-04-06,1448.9,1402.2,1409.0,1411.542792336154,1412.0779120824059
0,1415.0,2017-04-05,1418.0,1380.1,1395.2,1397.4701521061036,1399.2523797868473
0,1374.65,2017-04-03,1380.5,1337.05,1342.0,1341.6677581171502,1346.1520799287302
0,1320.9,2017-03-31,1337.65,1266.0,1266.0,1260.7677993451407,1272.9816251810978
0,1270.65,2017-03-30,1274.75,1253.0,1255.0,1250.3410632839016,1254.9748933584212
0,1256.65,2017-03-29,1260.0,1233.35,1251.7,1246.1901650650964,1253.7620194217648
0,1245.75,2017-03-28,1264.0,1242.1,1258.0,1251.0767196005827,1253.5372982235638
0,1251.1,2017-03-27,1278.75,1247.2,1271.1,1263.3733739422366,1265.8163849983387
0,1286.75,2017-03-24,1292.0,1268.45,1274.1,1270.1312145307318,1274.1513936738208
0,1273.3,2017-03-23,1277.55,1258.0,1263.15,1258.7310263751872,1262.6516381851125
0,1259.7,2017-03-22,1265.9,1246.55,1252.0,1246.7417618809657,1250.8232253843792
0,1263.8,2017-03-21,1283.9,1259.3,1282.2,1275.9890345040624,1277.888985417961
0,1280.8,2017-03-20,1306.25,1278.35,1306.0,1300.163667984132,1300.6479240660726
0,1300.7,2017-03-17,1319.95,1298.05,1308.0,1303.8611134820057,1302.7231470004826
0,1297.65,2017-03-16,1310.4,1293.6,1310.0,1306.4179773681456,1306.096374067171
0,1304.95,2017-03-15,1316.3,1290.4,1291.05,1287.476910481043,1289.2060328183572
0,1289.5,2017-03-14,1319.0,1285.25,1318.75,1312.8320998112558,1313.5054030194476
0,1281.65,2017-03-10,1296.0,1261.2,1290.25,1284.9298646745385,1290.5726428642417
0,1286.75,2017-03-09,1298.0,1281.5,1290.0,1285.9413302968767,1286.3248249254011
0,1291.2,2017-03-08,1307.7,1286.1,1307.7,1303.3112420034656,1303.8046545353016
0,1304.95,2017-03-07,1327.0,1296.15,1318.85,1314.365191434078,1315.1356144673261
0,1305.35,2017-03-06,1312.0,1265.25,1269.0,1264.8292832766112,1273.905266538953
0,1258.55,2017-03-03,1287.8,1241.55,1241.55,1233.3425902507638,1238.2804028659596
0,1236.75,2017-03-02,1254.7,1227.05,1237.9,1230.2451285655047,1234.7657080932538
0,1234.5,2017-03-01,1244.4,1230.0,1240.1,1233.505298454251,1236.6966420874885
